No.,d,g_y,d_pixel,
395,2.3,328,518,
396,2.3,319,479,
397,2.3,320,484,
398,2.5,319,508,
399,2.1,321,455,
400,2.3,331,474,
401,2.3,321,459,
402,2.3,319,472,
403,2.3,320,480,
404,2.3,327,481,
405,2.3,335,559,
406,2.3,320,472,
407,2.2,321,469,
408,2.3,320,552,
409,2.2,321,472,
410,2.2,319,478,
411,2.3,319,493,
412,2.3,320,490,
413,2.0,320,458,
414,2.1,320,446,
415,2.1,320,457,
416,2.2,320,466,
417,2.5,320,580,
418,2.1,326,447,
419,2.3,320,462,
420,2.2,320,468,
421,2.2,320,450,
422,2.1,319,441,
423,2.5,320,482,
424,2.6,320,519,
425,2.2,326,452,
426,2.2,320,445,
427,2.2,321,470,
428,2.3,320,482,
429,2.2,320,447,
430,2.4,319,491,
431,2.2,319,530,
432,2.3,320,519,
433,2.3,319,489,
434,2.2,320,449,
435,2.3,331,474,
436,2.2,321,453,
437,2.2,320,464,
439,2.3,321,499,
440,2.3,320,486,
441,2.5,319,494,
442,2.6,319,504,
443,2.4,319,492,
444,2.2,320,474,
445,2.6,320,504,
446,2.4,320,568,
447,2.2,319,484,
453,2.3,319,492,
454,2.6,319,525,
455,2.3,319,515,
457,2.4,320,492,
458,2.4,319,489,
459,2.3,319,489,
460,2.3,319,479,
461,2.2,320,468,
462,2.7,320,546,
463,2.5,320,510,
464,2.5,319,492,
465,2.5,320,496,
466,2.4,319,491,
467,2.4,319,495,
468,2.2,320,465,
469,2.6,320,526,
470,2.6,319,522,
471,2.6,320,533,
472,2.4,319,474,
473,2.4,320,506,
474,2.3,320,482,
475,2.3,320,485,
477,2.7,320,547,
478,2.4,320,500,
479,2.3,321,455,
480,2.5,320,501,
481,2.3,319,484,
482,2.2,320,464,
483,2.4,319,477,
485,2.5,320,508,
486,2.5,319,505,
487,2.2,319,487,
488,2.5,322,511,
489,2.5,319,492,
490,2.7,320,520,
491,2.4,319,507,
492,2.3,319,518,
493,2.5,320,498,
494,2.5,320,499,
495,2.3,319,476,
496,2.4,319,494,
498,2.5,321,503,
499,2.3,319,500,
500,2.3,320,473,
501,2.4,319,492,
502,2.5,319,490,
503,2.5,319,516,
504,2.4,320,501,
505,2.4,320,485,
506,2.5,320,513,
507,2.4,319,490,
508,2.5,320,508,
509,2.5,320,503,
510,2.2,320,476,
511,2.4,319,482,
513,2.4,320,496,
514,2.7,320,535,
515,2.5,320,510,
516,2.3,319,472,
517,2.4,319,500,
518,2.5,320,517,
519,2.3,320,486,
520,2.4,319,493,
521,2.4,321,489,
522,2.4,320,494,
523,2.2,320,492,
524,2.3,319,491,
525,2.3,320,496,
527,2.5,323,502,
528,2.4,319,489,
529,2.5,319,510,
530,2.3,318,475,
531,2.4,319,493,
532,2.5,321,497,
533,2.4,320,497,
535,2.5,321,497,
536,2.3,320,475,
537,2.3,320,479,
538,2.3,322,477,
539,2.3,319,494,
540,2.2,320,478,
541,2.5,319,490,
542,2.2,319,462,
543,2.5,320,498,
544,2.6,320,517,
545,2.6,320,525,
546,2.6,320,528,
547,2.4,319,496,
548,2.4,320,502,
549,2.4,320,492,
550,2.3,321,463,
551,2.4,320,493,
552,2.5,319,506,
553,2.4,319,486,
554,2.4,320,485,
555,2.3,320,477,
556,2.6,319,527,
557,2.4,320,473,
558,2.4,320,489,
559,2.3,318,479,
560,2.4,320,476,
561,2.3,323,474,
562,2.4,320,502,
563,2.7,320,529,
564,2.8,320,551,
565,2.3,319,487,
566,2.6,319,517,
567,2.5,319,493,
568,2.4,319,472,
569,2.4,319,490,
570,2.3,320,474,
571,2.2,319,451,
572,2.5,320,495,
573,2.4,319,472,
574,2.4,320,476,
575,2.2,320,471,
576,2.4,319,487,
577,2.3,320,481,
578,2.4,319,503,
579,2.3,320,481,
580,2.2,319,464,
581,2.2,320,456,
582,2.2,320,458,
583,2.3,319,461,
584,2.4,320,473,
585,2.2,326,469,
586,2.2,320,496,
587,2.3,320,471,
588,2.3,319,478,
589,2.3,319,470,
590,2.2,320,497,
591,2.3,321,454,
592,2.3,320,550,
593,2.4,320,486,
594,2.4,320,463,
595,2.3,320,451,
596,2.3,320,469,
597,2.3,319,538,
598,2.3,319,465,
599,2.1,319,446,
600,2.3,318,484,
601,2.4,320,490,
602,2.3,327,460,
603,2.4,320,475,
604,2.2,319,468,
605,2.2,318,469,
606,2.2,316,517,
607,2.3,319,454,
608,2.3,318,481,
609,2.3,320,464,
610,2.8,319,534,
611,2.2,321,439,
612,2.2,320,461,
613,2.3,319,463,
614,2.3,321,468,
615,2.3,319,470,
616,2.5,320,490,
617,2.3,319,470,
618,2.2,320,452,
619,2.5,320,489,
620,2.5,320,492,
621,2.2,320,469,
622,2.0,320,427,
623,0.3,319,456,
624,2.2,334,456,
625,2.4,320,469,
626,2.3,321,469,
627,2.2,319,464,
628,2.3,321,475,
629,2.4,319,476,
630,2.3,320,483,
631,2.1,320,442,
632,2.3,321,465,
633,2.2,320,448,
634,2.2,321,446,
635,2.2,320,446,
636,2.3,320,465,
637,2.1,318,505,
638,2.2,320,445,
639,2.2,319,448,
640,2.3,318,477,
641,2.2,320,466,
642,2.3,320,453,
643,2.3,321,461,
644,2.3,320,478,
645,2.3,321,471,
647,2.3,320,470,
648,2.5,320,491,
649,2.3,320,501,
650,2.4,319,480,
651,2.4,320,484,
652,2.3,317,463,
653,2.2,321,455,
655,2.5,319,487,
656,2.3,319,472,
657,2.3,319,480,
658,2.4,320,490,
659,2.1,319,444,
660,2.4,320,477,
661,2.4,324,477,
662,2.1,320,446,
663,2.5,319,491,
664,2.4,320,489,
665,2.6,319,504,
666,2.3,320,476,
667,2.4,319,468,
668,2.4,320,486,
669,2.2,321,469,
670,2.4,320,494,
671,2.2,320,451,
673,2.3,320,467,
674,2.1,322,448,
675,2.1,320,450,
676,2.4,318,486,
677,2.5,320,498,
678,2.1,319,435,
679,2.2,319,449,
680,2.2,320,454,
681,2.3,319,455,
682,2.4,320,477,
683,2.3,327,466,
684,2.2,320,458,
685,2.2,319,442,
686,2.3,320,466,
687,2.4,319,470,
688,2.3,319,464,
689,2.1,319,558,
690,2.3,320,465,
691,2.3,317,475,
692,2.2,320,455,
693,2.5,319,481,
695,2.3,319,464,
696,2.4,320,485,
697,2.4,318,476,
698,2.3,320,457,
699,2.2,320,434,
700,2.4,321,480,
701,2.5,320,494,
702,2.3,319,473,
703,2.3,320,471,
704,2.3,319,474,
705,2.4,320,483,
706,2.6,320,512,
707,2.4,320,486,
708,2.3,320,491,
709,2.4,320,476,
710,2.4,320,494,
711,2.3,320,565,
712,2.5,320,487,
713,2.4,320,485,
714,2.3,320,469,
715,2.2,320,459,
716,2.3,320,471,
717,2.2,319,445,
718,2.3,320,541,
719,2.3,321,525,
720,2.3,319,472,
721,2.5,321,503,
722,2.4,320,478,
723,2.4,319,461,
724,2.2,319,454,
725,2.4,321,482,
726,2.3,319,466,
727,2.5,320,500,
728,2.6,319,542,
729,2.4,320,552,
730,2.6,320,518,
731,2.5,320,491,
732,2.4,319,483,
733,2.2,321,452,
734,2.5,320,492,
735,2.6,320,501,
736,2.4,320,477,
737,2.4,320,513,
738,2.5,319,490,
739,2.3,320,475,
740,2.3,320,472,
741,2.3,320,490,
742,2.4,319,473,
743,2.3,319,474,
744,2.1,320,437,
745,2.4,320,480,
746,2.2,320,467,
747,2.5,320,487,
748,2.2,321,451,
749,2.3,320,476,
750,2.4,320,477,
751,2.1,321,453,
752,2.3,320,481,
753,2.3,320,479,
754,2.3,319,461,
755,2.4,321,472,
756,2.3,320,461,
757,2.4,320,467,
758,2.3,320,473,
759,2.5,318,522,
760,2.3,320,477,
761,2.2,320,447,
762,2.1,319,454,
763,2.2,320,452,
764,2.3,320,463,
765,2.3,320,468,
766,2.3,319,460,
767,2.1,321,445,
768,2.5,319,483,
769,2.5,320,485,
770,2.4,320,499,
771,2.2,320,454,
772,2.4,320,480,
773,2.4,319,492,
774,2.2,320,469,
775,2.1,319,422,
776,2.3,319,469,
777,2.1,319,517,
778,2.4,320,467,
779,2.4,320,467,
780,2.2,319,440,
781,2.2,319,436,
782,2.4,320,494,
783,2.6,320,512,
784,2.3,320,464,
785,2.5,319,500,
786,2.4,319,487,
787,2.3,319,456,
789,2.4,321,487,
790,2.3,320,459,
791,2.4,320,486,
792,2.2,320,451,
793,2.4,320,475,
794,2.4,321,480,
795,2.3,320,463,
796,2.3,319,464,
797,2.3,320,469,
798,2.2,320,454,
799,2.5,320,492,
800,2.3,320,473,
801,2.4,320,474,
802,2.3,320,471,
803,2.3,320,471,
804,2.3,319,458,
805,2.4,320,475,
806,2.2,320,450,
807,2.3,319,461,
808,2.3,321,466,
809,2.2,319,456,
810,2.4,320,473,
811,2.3,319,464,
812,2.5,320,495,
813,2.3,321,460,
814,2.2,319,417,
815,2.3,319,484,
816,2.2,318,440,
817,2.1,320,489,
819,2.2,319,447,
820,2.2,318,441,
821,2.3,321,449,
822,2.2,321,435,
823,2.1,319,431,
824,2.2,321,439,
825,2.3,319,449,
827,2.1,320,445,
828,2.3,320,502,
829,2.2,319,434,
830,2.2,319,436,
831,2.3,320,470,
832,2.1,324,430,
833,2.2,319,442,
834,2.1,319,428,
835,2.3,320,467,
836,2.2,319,430,
837,2.3,319,468,
838,2.1,321,431,
839,2.2,318,438,
840,2.2,319,445,
841,2.2,319,458,
842,2.2,320,450,
843,2.2,320,451,
844,2.1,320,436,
845,2.2,319,452,
846,2.2,320,433,
847,2.2,320,443,
848,2.2,319,447,
849,2.1,320,451,
850,2.2,319,453,
851,2.1,319,435,
852,2.2,320,466,
853,2.2,320,443,
854,2.2,320,458,
856,2.2,319,453,
857,2.1,320,427,
858,2.1,319,445,
860,2.2,319,447,
861,2.1,320,428,
862,2.2,320,449,
863,2.1,320,432,
865,2.1,320,440,
866,2.2,320,454,
868,2.2,319,437,
869,2.4,319,480,
870,2.1,320,439,
871,2.1,319,434,
872,2.1,318,436,
873,2.2,320,438,
874,2.2,319,458,
875,2.1,320,431,
876,2.2,320,442,
877,2.1,320,436,
878,2.2,319,452,
879,2.2,320,448,
880,2.2,319,460,
881,2.1,319,435,
882,2.1,320,434,
883,2.1,320,451,
884,2.2,320,451,
885,2.2,320,453,
886,2.2,320,454,
887,2.2,319,438,
888,2.1,320,431,
889,2.2,319,457,
890,2.2,319,456,
891,2.2,320,439,
892,2.1,320,478,
893,2.3,320,463,
894,2.0,318,404,
895,2.1,319,446,
896,2.3,319,498,
897,2.3,321,461,
898,2.2,320,445,
899,2.3,319,456,
901,2.3,319,467,
902,2.3,319,465,
903,2.2,320,464,
904,2.2,319,442,
905,2.1,320,435,
906,2.1,319,428,
907,2.1,319,434,
908,2.2,319,446,
909,2.1,319,438,
910,2.2,319,448,
911,2.0,320,423,
912,2.1,320,436,
913,2.2,318,450,
914,2.3,320,455,
915,2.2,320,483,
916,2.1,318,418,
917,2.2,318,424,
918,2.1,319,450,
919,2.2,320,454,
920,2.1,320,450,
921,2.0,320,399,
922,2.2,319,448,
923,2.3,320,508,
924,2.2,320,354,
925,2.1,320,433,
926,2.1,320,457,
927,2.0,319,423,
928,2.0,319,412,
929,2.2,319,451,
930,2.1,319,452,
931,2.2,320,429,
932,2.2,320,444,
933,2.2,320,446,
934,2.3,320,464,
935,2.2,320,444,
936,2.3,320,454,
937,2.2,320,446,
938,2.4,318,473,
939,2.3,320,455,
940,2.1,320,431,
941,2.4,321,470,
942,2.1,319,430,
943,2.2,320,439,
944,2.0,320,426,
945,2.2,320,452,
946,2.1,319,422,
947,2.2,320,436,
949,2.2,320,433,
950,2.2,319,453,
951,2.2,319,427,
952,2.2,319,457,
953,2.2,319,452,
954,2.3,319,459,
955,2.3,320,457,
956,2.2,320,449,
957,2.2,320,438,
958,2.2,320,445,
959,2.1,320,417,
960,2.0,320,412,
961,2.1,320,553,
963,2.2,320,450,
964,2.1,319,437,
965,2.3,319,547,
966,2.1,319,404,
967,2.3,321,450,
968,2.2,319,445,
969,2.1,319,430,
970,2.2,319,449,
971,1.9,321,402,
972,2.2,320,440,
973,2.1,319,467,
974,2.3,320,465,
975,2.2,319,440,
976,2.0,319,428,
977,2.1,319,436,
978,2.3,319,509,
979,2.3,354,478,
980,2.3,320,456,
981,2.5,336,499,
982,2.4,321,477,
983,2.3,334,472,
984,2.3,347,464,
985,2.3,334,530,
986,2.4,333,534,
987,2.3,320,467,
988,2.1,320,429,
989,2.4,320,489,
990,2.3,319,471,
991,2.4,338,478,
992,2.5,320,487,
993,2.3,319,498,
994,2.5,327,579,
995,2.3,319,571,
996,2.4,320,467,
997,2.2,319,434,
998,2.3,335,463,
999,2.4,323,536,
1000,2.3,319,528,
1001,2.4,333,473,
1002,2.1,320,437,
1003,2.0,320,401,
1004,2.0,320,514,
1005,2.1,319,439,
1006,1.9,321,403,
1008,2.0,320,408,
1009,2.0,320,403,
1010,2.0,319,409,
1011,1.8,320,477,
1012,1.8,320,380,
1013,1.9,320,396,
1014,2.0,320,411,
1015,1.8,320,380,
1016,2.1,344,507,
1017,1.9,320,404,
1018,1.9,345,433,
1019,2.0,320,404,
1020,1.7,321,421,
1021,1.7,320,370,
1022,1.8,319,382,
1023,1.9,319,406,
1024,2.1,320,418,
1025,2.1,320,496,
1026,2.0,319,446,
1027,2.0,320,546,
1028,2.1,320,421,
1029,1.8,320,388,
1030,1.9,319,392,
1031,1.8,320,388,
1032,1.9,321,469,
1033,2.0,319,458,
1034,1.9,320,511,
1035,1.7,320,376,
1036,1.8,319,501,
1037,2.2,340,544,
1038,2.5,320,518,
1039,2.3,319,478,
1040,2.3,320,468,
1041,2.0,320,436,
1042,2.4,319,532,
1043,2.3,319,526,
1044,2.3,345,472,
1045,2.5,320,598,
1046,2.2,319,436,
1047,2.3,319,483,
1048,2.3,320,540,
1049,2.3,337,465,
1050,2.0,318,414,
1051,1.8,320,393,
1052,2.0,332,432,
1053,2.1,320,428,
1054,1.9,319,424,
1055,1.8,320,445,
1056,1.9,319,529,
1057,2.0,319,504,
1058,2.0,320,410,
1059,1.8,319,384,
1060,1.7,320,383,
1061,1.8,320,398,
1062,1.9,330,400,
1063,1.9,320,394,
